id_pedido,id_entrega,fecha_pedido,dia_semana_pedido,fecha_entrega,dia_semana_entrega,id_cliente,tipo_cliente,nombre_cliente,id_producto,producto,formato_envase,cantidad,precio_unitario,descuento,precio_total,promocion,metodo_pago,ruta,id_conductor,estado_entrega,provincia_envio,distrito_envio,coordenadas_envio,humedad_percent,viento_kmh,precipitacion_mm,gasto_publicidad,inflacion_mensual,media_movil_7d,media_movil_30d
PED000001,ENT-00000001,2024-08-05,Lunes,2024-08-08,Jueves,PJ_462824,Supermercado,Mass Paucar,P010,Fanta 2L,PET,244,7.44,0.1,1634.83,regalo,efectivo,Ruta_05,CON005,entregado,Daniel Alcides Carrión,Paucar,"(-10.470602, -76.353225)",67.8,6.6,1.4,1510.33,0.237,96.73,63.28
PED000002,ENT-00000002,2024-08-05,Lunes,2024-08-08,Jueves,PJ_311153,Bar,Bar El Centro Tinyahuarco,P008,Agua San Luis 1L,PET,40,2.89,0.1,104.0,2x1,Plin,Ruta_23,CON003,retrasado,Pasco,Tinyahuarco,"(-10.671328, -76.350775)",53.7,8.3,0.4,1594.03,0.317,80.82,112.59
PED000003,ENT-00000003,2024-08-05,Lunes,2024-08-08,Jueves,PJ_311153,Bar,Bar El Centro Tinyahuarco,P010,Fanta 2L,PET,20,8.91,0.0,167.72,envío gratis,tarjeta crédito,Ruta_23,CON003,entregado,Pasco,Tinyahuarco,"(-10.671337, -76.347587)",52.0,17.6,1.6,1972.19,0.471,113.77,124.93
PED000004,ENT-00000004,2024-08-05,Lunes,2024-08-08,Jueves,PJ_311153,Bar,Bar El Centro Tinyahuarco,P007,Inca Kola 2L,PET,20,10.72,0.05,203.62,ninguna,contraentrega,Ruta_23,CON003,entregado,Pasco,Tinyahuarco,"(-10.67049, -76.352436)",57.4,20.9,0.1,1695.12,0.31,147.13,113.32
PED000005,ENT-00000005,2024-08-05,Lunes,2024-08-08,Jueves,PJ_311153,Bar,Bar El Centro Tinyahuarco,P009,Sprite 500ml,vidrio,30,2.45,0.0,73.46,2x1,Yape,Ruta_23,CON003,entregado,Pasco,Tinyahuarco,"(-10.672843, -76.349205)",49.1,30.1,1.9,4050.08,0.163,76.65,86.35
PED000006,ENT-00000006,2024-08-05,Lunes,2024-08-08,Jueves,PN_899685,Persona Natural,Encarna de Alcaraz,P005,Agua San Luis 500ml,PET,1,1.66,0.0,1.66,sin_promocion,tarjeta crédito,Ruta_03,CON003,entregado,Oxapampa,Constitución,"(-10.572153, -76.398028)",58.8,3.0,5.2,2571.63,0.395,135.02,111.74
PED000007,ENT-00000007,2024-08-05,Lunes,2024-08-08,Jueves,PN_899685,Persona Natural,Encarna de Alcaraz,P002,Inca Kola 500ml,vidrio,1,3.29,0.0,3.29,sin_promocion,contraentrega,SIN_RUTA,CON003,entregado,Oxapampa,Constitución,"(-10.567703, -76.396397)",49.4,10.4,2.7,5501.65,0.254,134.54,108.3
PED000008,ENT-00000008,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_669893,Bar,Bar El Rinconcito Santa Ana de Tusi,P005,Agua San Luis 500ml,PET,61,2.06,0.2,100.51,descuento temporada,tarjeta débito,RUTA_EXTRA,CON006,entregado,Daniel Alcides Carrión,Santa Ana de Tusi,"(-10.52297, -76.029256)",73.2,17.2,1.0,4702.634199999999,0.238,124.79,108.06
PED000009,ENT-00000009,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_669893,Bar,Bar El Rinconcito Santa Ana de Tusi,P003,Sprite 2L,PET,40,8.78,0.0,351.09,promo verano,contraentrega,RUTA ,CON006,entregado,Daniel Alcides Carrión,Santa Ana de Tusi,"(-10.523499, -76.016836)",61.4,12.1,2.5,3592.26,0.312,93.87,124.65
PED000010,ENT-00000010,2024-08-05,Lunes,2024-08-08,Jueves,PJ_962809,Restaurante,Restaurante Don Manuel Paucar,P004,Fanta 500ml,vidrio,20,2.58,0.0,51.7,regalo,Plin,Ruta_05,CON005,entregado,Daniel Alcides Carrión,Paucar,"(-10.441268, -76.378984)",100.0,7.4,1.8,1551.06,0.318,113.63,123.49
